Product ID,Brand,Model
b9a6d3eb71,Lenovo,Ideapad 3
0b3baf7732,Lenovo,Flex 5
2ccc542fc1,Dell,Vostro 3510
141c233c7a,Dell,Vostro 3510
ab7f47d663,Dell,Vostro 3520
148fa9659b,Dell,Latitude 3410
50f68d9dbd,Dell,Vostro 3520
eb359f14c8,Acer,Aspire 5
b8176c58ab,Lenovo,V14 Celeron
5873a065a2,Dell,Laptop 3520
bc99331b7d,Acer,Aspire lite
9fac65dd0c,Lenovo,Ideapad Celeron
fbf1ce919e,Asus,Zenbook 14
9ae83ceec1,HP,15 i3
fbf0b87b77,Lenovo,IdeaPad Slim
13bd818985,Dell,Vostro 3520
91be511ecb,Lenovo,IdeaPad 1
aaf61c8674,Apple,MacBook Air
f90b90dc77,MacBook,charger 60/61W
921d4904cf,Dell,Lattitude 5490
51f267e9dc,Dell,Vostro 3520
40587297ed,Acer,Aspire 3
675fde1716,Lenovo,IdeaPad 3
63334ec0ef,Dell,Vostro 3520
ddef05ad7b,Dell,Lattitude 5480
d2ecec2976,Lenovo,V15 G3
c632208068,Dell,Inspiron 3520
77eebdd25c,Dell,Inspiron 7430
82970810f2,Dell,Lattitude 7390
6b2a7889bd,ACER,Intel Core
169fff2a37,Asus,Vivobook Flip
cfe9be34c9,Acer,Swift Go
c976bd304f,Asus,Vivobook Flip
e8257e465b,HP,Envy x360
634c5ed25e,Lenovo,2023 IdeaPad
1634422d79,Apple,MacBook Air
c5aed6b4c1,Dell,Vostro 3520
9723a709fa,Dell,Inspiron 15
0e57578459,Huawei,MateBook D15
fa24419ea6,Asus,zenbook 17
68e12cb3b5,Asus,Vivobook 15
c4bed7b6d8,ASUS,Vivobook 14X
f58e99cf0f,Dell,Vostro 15
496e8bdf51,Dell,Inspiron 15
0ec631be6d,Asus,TUF Dash
5efa0ed0a6,MSI,Laptop Modern
4867fb3d00,Lenovo,Yoga 6
445d281d3f,Lenovo,Ideapad Flex
7504a44041,MSI,Modern 14
b5418e098a,Dell,Vostro 3520
e28d0971f7,Dell,Latitude 3440
c0e3037b5b,Dell,Vostro 3400
4e69ca77b3,Dell,Vostro 3520(Intel
1632dc1a18,HP,Spectre x360
809bdc30a6,Asus,ZenBook 14X
89176fa146,Dell,Inspiron G15
2368368a30,MSI,Laptop Modern
7e54658027,MSI,Modern 14
ae4af2eb63,MSI,Laptop Creator
9665f26c63,CHUWI,CoreBook X
4d6ae15441,Dell,Inspiron 15
bd44e21288,xLab,x-Book Series
dbbe499391,Dell,Latitude 3440
dc2ecc27a1,Dell,Vostro 3520
f704e949f8,Dell,Inspiron 14
908994f7ec,Mi,Redmibook 15
fd36fb8f9c,xLab,x-Book Series
6622265cfe,MSI,Laptop Modern
5ab98eb972,MSI,Laptop Modern
552bc49a80,Asus,ROG Zephyrus
6b15971d31,MSI,Modern 15
be4d33368c,AVITA,LIBER E
8f42250992,ASUS,Zenbook 14
ec684423bf,Dell,Inspiron 7506
1e87ad01b3,Dell,Inspiron G15
d12f119787,Dell,lnspiron 15
e68d4ced59,MSI,Modern 14
babfa44db5,Dell,Wyse 5470
3b9f5db99d,MSI,Modern 14
ec1f2fce68,MSI,Sword 16
1b8b27e562,Dell,Inspiron 16
59c078746e,Asus,2023 Zenbook
04bb571a62,MSI,Cyborg 15
ed1555fb40,Dell,Inspiron 16
7db1a10239,Avita,Satus Ultimus
545d4874a7,Modern,14 B10MW
ff64c71220,AVITA,Essential Refresh
bf7d1e8bb8,Dell,Latitude 3420
172b989d2c,Dell,Inspiron 15
9c3cbf297a,Avita,Liber E
9f93245715,AVITA,LIBER V14
4521a8b73f,Laptop,Acer Aspire
4a2880b48f,Dell,Inspiron 14
8c97c3f338,Asus,Vivobook Pro
d252803285,Dell,Vostro 3520
c11bb61662,Dell,Inspiron 16
bcb707d4d2,Dell,Inspiron 14
9527887e34,Lenovo,IdeaPad 1
8427e9391d,ASUS,Vivobook 14X
e5c1ae6c5c,Dell,Latitude 5420
08e38b9b21,Dell,Inspiron G15
56f732c10c,Mi,Redmibook 15
00866757dc,Asus,Vivobook Flip
efaedb79a3,Dell,Inspiron 14
6994c79689,Lenovo,Ideapad Slim3
74669c38a4,Dell,Inspiron 16
4126297235,Asus,Vivobook Pro
9baf4ed3de,Asus,Vivobook Pro
1b9aac9212,ASUS,Zenbook 14
bc7e5e3ac9,Dell,Inspiron G15
6cb33e4654,DELL,INSPIRON 3501
dfd0a70306,DELL,latitude 3410
e251caa058,Dell,Inspiron 16
f8237d929d,Asus,Vivobook Flip
0cb4444052,MSI,Cyborg 15
74ab520df6,Asus,Zenbook Duo
6e0767bffa,Asus,VivoBook 15
eafc6eb337,Dell,Inspiron 16
b861dfdda5,Dell,Inspiron 15
9b0226a8dd,ASUS,TUF Gaming
de6a177081,Dua,Screen Pos
ac5d117a46,Dell,Inspiron 15
12000275a3,ASUS,Vivobook 15X
7fdb5d7e48,Dell,Inspiron 14
3cc001963d,Asus,Vivobook Pro
72ce588768,ASUS,ZenBook Flip
17e7a634d3,Dell,Inspiron 15
6d90608007,ASUS,ZenBook 14
cf2edd8717,ASUS,Vivobook Go
d73c50c302,Asus,vivobook flip
6702150b96,Apple,MacBook Air
fe0f7a53cd,Asus,Vivobook 15
b129517261,Asus,VivoBook 14X
4834fabe23,Asus,vivobook 15
9c5b90c9f1,Asus,Vivobook Pro
77e370a59b,Dell,Inspiron 16
106e402579,Asus,Zenbook 14
3a4b02359e,Asus,2023 Zenbook
be1762b0ed,ASUS,Vivobook 14X
5d57be033f,Asus,Vivobook 15
d397ad88d6,MSI,Cyborg 15
f34b6eefd8,ASUS,Zephyrus G14
f9de3ee931,Asus,Zenbook S
7031fa7d7c,Asus,Vivobook 15
9cbe0afc25,Asus,Vivobook M1503Qa
f9213da77b,Apple,MacBook Air
e9f4249a8b,Asus,VivoBook 15
e58a244b2e,Asus,World'S Smallest
88b1cd5abc,Dell,Inspiron G15
6da20d8ad6,Asus,Zenbook 14
0f8ba322d0,Dell,Alienware M15
b08b1b4b8b,ASUS,ZenBook 14
27389d3c06,Lenovo,ThinkPad T14
f92813d8a7,Apple,Macbookpro 14.2‑Inch
43714cc3a1,Asus,Vivobook 15
b8ca2d743c,Asus,Vivobook 14
5b323037c6,Asus,Vivobook 14
43643dd1df,Apple,MacBook Air
d9ec5001ac,Asus,ZenBook Q420VA
90a676d61f,Asus,Vivobook 15
4acc884ad8,MSI,Laptop GF63
1a5d286c62,ASUS,VIVOBOOK 15X
ea51e8081a,MSI,Laptop GF63
444b44d892,Asus,Vivobook 14
62643dfbf4,ASUS,Vivobook Flip
c3c9a39f93,Apple,MacBook Pro
aabf94c791,Asus,Zenbook 14
c66fe1a316,Asus,ROG Strix
d38263ff36,Asus,zenbook 14
82993a8b79,Dell,Latitude 3420
58daeeeda3,MSI,Cyborg 15
0c71db88f3,ASUS,TUF Gaming
766fd7d620,Dell,Latitude 5530
792960f73d,Dell,Inspiron 16
a7807bbb6f,MSI,Laptop GF63
302f1052dc,Dell,Inspiron 16
c829e6f67c,MSI,Thin 15
ea74c145fe,Apple,MacBook Pro
b2757cd8f3,Dell,lnspirion 15
d8fc3616b5,ASUS,ZENBOOK 14X
e7c5e0ffd5,Dell,Inspiron G15
e6bc48b542,Asus,ROG Strix
5f060ef263,MSI,GF63 Thin
672da00743,Apple,MacBook Air
49f907939d,Dell,lnspirion 15
79e0bcdb0e,MSI,Laptop Katana
998c45a480,ASUS,TUF Gaming
366aed43df,Apple,MacBook Air
b8b3e3fa6e,Asus,ROG Strix
f7b1af8ec3,Lenovo,Flex 5
d54f8d91d7,Dell,Vostro 3400/I5
4b7f1fae06,Asus,ROG Strix
8ca67d361d,Dell,Laptop Vostro
316e6a1259,Dell,lnspiron 15
b4cffd5d96,MSI,Laptop Pulse
8114a3cf8f,ASUS,TUF Dash
48fbc3de4f,Dell,Inspiron 2-IN-1
9355713399,ASUS,TUF Gaming
2d932d980e,HP,Laptop 15
7035d688cb,MSI,Laptop Katana
d0512ffc61,Apple,MacBook Pro
cabd6bbf70,ASUS,ROG Zephyrus
7c96a9b8ab,ASUS,TUF Gaming
406e251d16,Asus,ROG Zephyrus
fd98917bd5,Asus,TUF Gaming
b87cbb6d4d,Apple,MacBook Pro
d3cf319efa,ASUS,TUF Gaming
8f58c3a729,Asus,Rog Strix
fef35f4573,MacBook,"Pro (14-Inch,"
391df534df,Asus,ROG Strix
7cf7242902,Dynabook,Tecra A40-K
413b3ff1a7,Dell,Vostro 3520
da9ed0cadc,Aspire,3 A315-24PNotebook
80955899cb,Apple,MacBook Air
9a357ee96b,ASUS,TUF Gaming
e585361095,Apple,MacBook Pro
d08c0f2b65,ASUS,TUF Gaming
4efc4d432e,ASUS,TUF Gaming
f9d6657c30,Aspire,5 i5
9f74587ba0,Asus,rog flow
eff46a3496,Asus,TUF Gaming
87f320536b,Apple,Macbook Pro
a822723a98,Apple,MacBook Pro
558202321a,HP,Elitebook 845
8b3b7139f4,Dell,Inspiron 3511
906917721c,Acer,Aspire 3
5305d61a9e,Asus,Vivobook 14
d194c37e40,Dell,Latitude 3420
edb47f7d37,Apple,MacBook Air
21ffac2d26,Apple,MacBook Pro
447d654296,Lenovo,ThinkPad E14
85a6de0466,ExpertBook,B1402 I5/12th
5af48ec3de,Apple,Macbook Pro
2d1613588e,Apple,Macbook Pro
1af484d464,HP,Envy x360
27410897f2,Apple,MacBook Air
48021be103,HP,15s-du2101TU 15.6
549ed6d844,MSI,Modern 14
b0a049e082,Dell,Inspiron 3511
3dbafd932e,Asus,VivoBook I5
2060f802e7,Asus,VivoBook 14
f18c261dff,Asus,VivoBook 14
e5d9d96dfb,Dell,Latitude 13
7c0e19ef42,Lenovo,IdeaPad Slim
c67244e8a9,CHIWI,MiniBook X
9310435ab6,Dell,Vostro 3520
b2ee246b95,Acer,Aspire3 A315-24P
4c680a6d4e,Dell,Inspiron 14
045a559c4d,Dell,Inspiron 7391
67007c652b,Lenovo,IP3 Ryzen
2e0d124128,Dell,Vostro 3400
3f6ac5683e,ASUS,VIVOBOK -
6327077804,HP,EliteBook 835
bc9760ce19,lenovo,ideapad 3
12c50923d6,GP66,Leopard 11UG
a90d955283,Acer,Swift 3
c7550345ac,Acer,Aspire 3
b5093fcb4f,Lenovo,Ideapad 1
5d42bbf4a0,Asus,VivoBook S
e39e8afbd5,Acer,Aspire 3
8f24e6f0c4,Acer,Extensa Laptop
d09440a42e,Acer,Swift 3
19825a78f6,Acer,Aspire 5
a6838a922b,Acer,Aspire A514-54-i5
7538817c03,Dell,Inspirion 3501
8b3d091652,2024,- ASUS
48a4ffde59,HP,15S-EQ2120AU RYZEN7
f732a18a3e,Dell,Latitude 3420
ad87e790a4,Dell,Inspirion 3501
65b8518b39,Asus,VivoBook 15
edcbc3a901,Dell,Vostro 3401
2cbf5b0a3a,Acer,Aspire 3
f4bc4002a1,Acer,Swift 3
b7bba02dfd,Acer,Aspire 5
3b8ee92fd5,Lenovo,Ideapad 1
e0971869c7,Lenovo,Ideapad Slim
6f08338ae1,Creator,Z16 A11UET
f608b79f0f,Lenovo,IdeaPad 1
f29cce2e99,Acer,Aspire 3
361db8aff7,Acer,Aspire 5
9377d279ee,Acer,Aspire A514-54-501Z
466ee7b998,Lenovo,IdeaPad 3
200f890720,Lenovo,Thinkpad L14
c3d8721d25,Acer,Swift 3
ae09089fed,Lenovo,ThinkBook 14
0ffbefe552,Lenovo,LOQ 15IRH8
e75b067606,HP,14z Laptop
9edbb4a134,Asus,ZenBook 14
9f9e3c2665,HP,15-dw3021 /
3dac94fe7c,Lenovo,Ideapad V15-IGL
a3ca8fadbf,Lenovo,IP1 Ryzen5
38a9cfda2d,Acer,Aspire 5
185aa5fd1f,Asus,Vivobook X415Ea
c88b19f236,Asus,"Vivobook 14"""
e5d0b975d2,HP,Laptop 15s
492390c3d7,Acer,Aspire 3
e1441d4327,Acer,I3 13th
e96f23004a,Acer,Aspire 5
9366b11c8c,HP,14- DQ2055WM
90a2bf7caa,Lenovo,"V15 Laptop,"
49dff1014c,Lenovo,Ideapad 1
7f8685869c,Dell,Inspiron 3520
b3e6581d84,Dell,Inspirion 3501
ec53eea606,Asus,Expertbook B1402
3190289419,Dell,Vostro 3520
0fb833ebdb,Dell,G5 15
4d6f4aa63c,HP,Laptop 240
24862bb5bc,Dell,Vostro 3400
6abd4cc3a3,Acer,Swift Go
07aa666d84,Dell,Inspirion 3501
36a2f7a714,Dell,XPS 15
40f19aa7c1,Acer,nitro 5
4e55ab06d1,Asus,Vivobook X1502Za-Bq496W
a431b19f91,Asus,Vivobook Flip
fa167b391c,Acer,Aspire A14
ae99b63f70,Lenovo,Laptop Intel
6eb9f85015,Asus,Vivobook X1504V
2a6272b025,Asus,Vivobook G0
38af518509,HP,Laptop 240
6ab82a612c,Lenovo,Ideapad 1-14IGL
2dfd384f56,Lenovo,ThinkPad Z13
c44b848c64,MSI,Modern 15
92e63297fd,Laptop,Acer Swift3
8851e6bd9e,HP,15 255
3aff7f60d6,Acer,Aspire 5
f99fdc1066,Dell,Inspiron 3520
f5c91532e9,HP,15 fc0093dx
f36735bc5c,Dell,Vostro 3400
7dbf4baf1b,HP,14s Laptop
dedc648e66,Dell,Latitude 3410
40ba03be44,Acer,Aspire 5
6deaeb82f2,Dell,Latitude 14
1dc0f1a227,Lenovo,Ideapad 3
be109b9704,HP,14S-FQ1052AU AMD
24819679d8,Dell,Vostro 3520
6d5a46c6c2,Newly,lunched-Lenovo Yoga
9383fadc26,Lenovo,ThinkBook 14
39a690dfbc,Lenovo,IP1 Ryzen5
7951974fb6,Lenovo,Ideapad 3
5a068c12d7,Acer,Aspire 3
399d227610,HP,Notebook 14-FQ1051AU
eef5e34551,Lenovo,IdeaPad 1
e4e03ae715,Lenovo,V14 Celeron
ab0ec730e6,Asus,VivoBook M1405YA-IS74
c7f19a4a7a,Dell,Inspiron 3520
e15184d624,Lenovo,IdeaPad 1
ef2844d000,Laptop,Asus VivoBook
17c850afd4,HP,14 Core
0c58a77d01,Acer,Nitro 5
6f12d48ebf,Dell,Vostro 3520
4e72a3cab5,Asus,ZenBook Q410VA
8f885ca53d,Acer,Swift Go
880b8764e9,Lenovo,Thinkpad L14
a183ef2b33,Lenovo,Idea pad
54e23d4745,Dell,Vostro 3520
87bf10889f,HP,Envy i7
c8b7f3fc89,Acer,Aspire 5
b2a70a2a99,Lenovo,IdeaPad 1
103e840619,HP,Laptop 240
1af86b886f,Nova,Pro(32/1TB) |
e80d9a3989,Asus,ZenBook Q408UG
cd8fee1032,Dell,Vostro 3400
b4af472e8a,Dell,Inspiron 3511
c1f54692e2,Dell,Latitude 3340
2a8d98a5a3,Acer,Extensa 15
8d5b1b8158,Dell,Vostro 3888
3edadfed2f,Lenovo,Legion Slim
3ffe2b488f,MSI,Modern 14
18ee3d315a,Acer,Predator Triton
35a0fbe0b3,HP,14s-cf3063 TU
1f5f563936,Dell,I5-11th Gen/8GB
bb742ef5a1,Acer,Aspire 5
2fe34d71fa,HP,Envy 13
911aa9ce65,Laptop,Acer Swift
d561311607,Dell,Latitude 7490
86ba3f3a8f,Acer,Aspire 5
ad72a33829,Modern,15 A11MU
bed559e240,Acer,Swift3-42-r8R5 AMD
37c5e95a9c,Acer,Aspire 3
8d671a23e6,Acer,Nitro 5
2fb1518efb,Acer,Aspire 5
df7ceac991,HP,Laptop 240
523cd5b91a,Lenovo,Ideapad 3
70c8a333f5,Asus,TUF F15
6de452cbf5,Dell,inspiron 3501
f08f8f9e04,Lenovo,Ideapad 1
3616663592,Acer,Aspire 3
33b7da8b38,Dell,Inspiron 3511
ed585afd59,Acer,Aspire 3/
1955e3f0d1,MSI,Modern 14
eb01acea6d,GP76,Leopard 11UE
c76dc44ea1,Laptop,HP 14
602dc5f27b,MSI,Modern 14
04e5c813b7,Acer,Aspire 5
9275d42715,Dell,Vostro 3400
0d199a8f1a,Lenovo,V14 Celeron
d403c9631b,HP,ProBook 440
0cd8e53dc0,HP,Laptop 240
5e511fa6e9,MSI,Cyborg 15
b530caf78a,Dell,vostro 3400
c0d77e9896,Lenovo,IdeaPad Flex
8c04b41bd2,Acer,Aspire 3
24a5202dae,Lenovo,Thinkbook I512th
5c7a551dd6,Acer,Aspire 3
d1205adfe6,Lenovo,Ideapad 1
e013314d73,Acer,Nitro 16
104b8eb8e1,Dell,Latitude 3420
8db8b34f9b,Acer,Aspire 3
1f118024c5,Acer,Aspire 5
7ba1a0a5d8,MSI,Modern 14
f6a9bdc787,Dell,Inspiron 3511
98886ed2cc,Dell,Vostro 3401
eaf01bf103,Aspire,Go 14
809e9605dc,Acer,Aspire 5
5ecbba9c06,Acer,Nitro 5
263031cabe,Acer,Nitro16 (AN16-41-R418)
ad05f6eda9,Lenovo,Ideapad 3
610a18ace4,Asus,VivoBook 14X
24473929c5,Asus,VivoBook 14
c80642232c,Acer,Aspire 5
c28b241635,ASUS,L510 /
af4291c834,Acer,Aspire 5
7a0806c72b,Lenovo,ThinkBook 14
2acd9cfc1d,Acer,Nitro 5
722b0c8b8c,Lenovo,IdeaPad 1
767a5286f4,Asus,VivoBook F415EA
dc33283276,Acer,Aspire 5
69d9acee9c,Acer,Aspire 5
7c020c79e4,Acer,A315-35-C8IE Processor:
59a51d9288,Modern,15 A11SBU
5f92c45126,Modern,14 B11MOU
aac06c4ef4,HP,NoteBook 15-fd0211nia
06f962753a,Dell,Inspiron 3511
5d4ee82e27,HP,ENVY x360
54a8beb76c,Acer,Swift 3
0423f97edd,Dell,Vastro 3400
59bb066286,Lenovo,IdeaPad 1
908f37d460,Laptop,Acer Swift
1a50522e2b,Dell,Vostro 3500
741d2d9ddd,Vostro,3400 i3
80a627ce9e,Lenovo,IP1 Ryzen5
4d569dce11,Lenovo,IdeaPad 1
df30858144,Dell,Inspiron 3511
a8120c1cb0,Dell,Inspiron 7430
a855ba578f,DELL,"VOSTRO 14"""
cfbaccecff,Dell,Latitude 3420
9860fa1500,Dell,Wyse 5470
87556e9f51,Hp,pavilion 15
fbe5428090,Acer,"Aspire 5,"
8d6dc7a137,Acer,A515-45-R0Y4 Processor:
5006a03b72,Dell,Inspiron 14
80f47b64d5,HP,Pavilion 14
85758447e1,Dell,Inspiron 7430
37511423e7,Lenovo,IdeaPad L3
1894b322b6,Dell,Latitude 5330
7df6e4fb5a,Lenovo,Yoga 6
6661cac4ff,Lenovo,Ideapad 1
c6ac90de98,Acer,Aspire 5
b8e4e5f2a7,Dell,Vostro 3520
c465ddf20e,Dell,Vostro 3400
e6e171c9dc,Lenovo,IdeaPad Slim
2bace0ec77,Dell,Latitude E5400
591b8a3422,Lenovo,IP 1
cb38a0b0ef,Acer,Swift3 Laptop
bf4ddd9073,Asus,Zenbook Flip
eb52356c7d,Lenovo,Ideapad 3
dbbd56af39,HP,14 DQ
9fc19770a3,ASUS,VIVOBOOK X1504Z
07a3ebc8bc,Dell,Vostro 3520
205626354f,Asus,VivoBook 14
93df70c34f,Asus,Zenbook Q507Iq
74c0182b97,Asus,VivoBook X513E
7954c6b8d3,Asus,VivoBook 15
690b3b5ac0,Acer,Swift Go
ba2b608371,Asus,Zenbook 14X
2e82c84ee9,Asus,E410M-EK Celeron
082519c9dc,Lenovo,Slim 7
2a48478409,Lenovo,IP Slim
6492849d94,Dell,Vostro 3520
44e89a17e2,Dell,Inspiron 14
cd496cd17d,Asus,Vivobook X1402Z
a29816f7c6,Acer,Aspire 3
f776a20a60,Dynabook,Tecra Toshiba
c35acdea5a,Acer,Aspire 3
f6bf4d56c7,Honor,Magic Book
5d98104ca8,Dell,Vostro 3400
6f23b583ac,Lenovo,IP1 Ryzen5
a8ab0c2677,Lenovo,Ideapad 3
5e1d14fc18,AVITA,Celeron N4020
79f8e0a654,ACER,Aspire 3
23d9e39b2f,Acer,aspire 3
c2f68d57b6,Dell,Vostro 3520
4fcf62398b,Lenovo,IdeaPad Slim
ab2917a99f,MSI,Note Book
d176b7e7f1,Dell,Inspiron 5493
91b409f434,Lenovo,ThinkPad L13
e9ec4cadbd,ASUS,Vivobook Go
9522431b9e,Dell,XPS 13
199bcf7ef5,Asus,ZenBook 14
2d26f90c91,Dell,Vostro 3520
505db58202,Lenovo,Legion Pro
fc470ee02c,Great,Asia laptop
9fc762851d,Asus,2023 Zenbook
7f6e0411f6,Acer,Nitro V
bdb0354b45,Dell,Vostro 3400
b71eca27c7,Dell,Latitude 3420
e0e4b502ef,Dell,Vostro 3500
bd528077ba,Dell,3520 i5
8148fc9d31,Lenovo,IdeaPad (slim)
25305cb05b,Dell,Laptop Latitude
c150dbdc1c,I7,13Th Gen
b75a308e9a,ASUS,Vivobook Go
dbb73fa1ea,VAIO,
5dc2215466,Asus,Expertbook-B1402CBA Intel
548d6f9211,Lenovo,Ideapad slim
bc0cf0f70c,ACER,Aspire 3
6bd21b95ff,HP,15-EF2126 RYZEN
f041691269,Acer,Nitro V
09fa4b9827,Dell,Vostro 3520
0f44f0db97,Lenovo,ThinkPad E14
5912a6d172,HP,Envy x360
6e213cfdf5,ASUS,Vivobook Go
cc1104d492,Acer,Aspire 5
a382438f47,HP,Envy x360
c99927f404,Summit,E16 Flip
a2640453f0,Dell,Alienware M15
50e367c895,Lenovo,V14 Celeron
142aa6ac0d,Lenovo,Ideapad 1
cde689e0c1,Acer,Aspire 5
0413bf6f2d,Asus,Expertbook Flip
634303440e,Asus,ZenBook 14x
29c56e608d,Acer,Aspire 5
19e4ef600d,Dell,Laptop Vostro
6026ee1694,Dell,Laptop Vostro
9cd865f249,HP,14 DQ
975809a738,Hp,240 G7/HP
ba01c0d9df,HP,"Laptop 15s-fq,"
417d390530,HP,Envy x360
014b238dec,Dell,Inspiron 15
602451418f,Dell,Vostro 3520
0f4293c83d,Laptop,Acer Aspire3
332bdade03,Acer,Aspire 5
305e2bc7bb,HP,Elite Book
2b4514f655,Acer,Aspire 3
b18f1ad744,Lenovo,IdeaPad Slim
e577369e44,Asus,Vivobook M1502Q
628da8f9a1,Acer,Swift 3
1f8a124b36,Dell,Vostro 3400
d5a29b2101,Dell,3501 i5
352540334b,Dell,WYSE 5470
7aff00b2ab,Asus,TUF A15
6c1775260c,Ryzen,3-3250U-HP-14/ 8GB
d715e31d4e,HP,Pavilion 14
9bb0fb009d,Dell,Latitude E7480
eb65f686c5,Asus,Vivobook X1402Z
5e16ed7261,Acer,A514-54-542B ntel
b57675c0d7,Asus,Vivobook Flip
c5da53190d,Acer,Aspire 3
fe28db832d,Lenovo,V15 Laptop/
8be2665531,Asus,Expertbook B1400
8348f0a758,Asus,ZenBook 14
2f2a1d7706,Acer,A315-58G-55Xc Intel
4383ea288b,ASUS,ZenBook Laptop[UM3402Y]
0decd2d019,HP,Envy x360
5588d0100f,HP,Laptop 348
db90650db6,Dell,Vostro 3520
3363f2efac,Lenovo,V15 Intel
50d16d8475,Laptop,Lenovo Celeron
ed1b8f0511,HP,15s-du2101TU 15.6
14bd4d46cf,HP,Victus i5
32f930f131,Lenovo,IP1 Ryzen5
96724a4f10,HP,Laptop 15-dy2795wm
6528f6626c,MSI,Note Book
189f9aa8fc,Acer,Aspire 3
cf66db0ffd,Dell,Vostro 3510
399bfa8f5a,HP,15s- fq4021TU
94e68380b8,Acer,I7 13Th
16c859e9ba,Lenovo,IdeaPad Slim
283379d4c3,Lenovo,IP 1
8fa2999ed2,Dell,Latitude 3510
31127b1594,Dell,Vostro 3510
edc26df249,ASUS,Vivobook Q530V
7bf4146fd5,Acer,Aspire Lite
d348470c37,HP,240 G9
c521099ea5,Acer,Aspire 5
b0094228e4,Lenovo,IdeaPad Gaming
8b4c2ecd83,Lenovo,IP Slim
af6f0e17c7,Dell,Inspiron 14
8da7df68f8,ASUS,Zen Book
aac51c27fd,Lenovo,IdeaPad 3
1a860ff8e7,Dell,XPS 15
f9c9028eff,Lenovo,IdeaPad 3
80dbd514b0,Acer,Aspire 5
baac0ce5fa,HP,"15-ef1071wm 15.6"""
c916f7a162,Dell,Inspiron 15
3752b8b30f,HP,Pavilion 15
