id,brand,model,price,processor,ram memory,display size,storage capacity
6d90608007,asus,ZenBook 14,15,5,4,7,5
48a4ffde59,hp,15S EQ2120AU,9,5,2,11,4
908994f7ec,mi,Redmibook 15,39,2,2,11,3
74669c38a4,dell,Inspiron 16,8,3,4,12,4
f8237d929d,asus,Vivobook Flip,12,5,4,7,5
8f42250992,asus,Zenbook 14,19,5,4,7,5
9f93245715,avita,LIBER V14,30,3,2,7,4
b08b1b4b8b,asus,ZenBook 14,16,5,4,7,5
9cbe0afc25,asus,Vivobook M1503Qa,28,3,2,11,4
466ee7b998,lenovo,IdeaPad 3,9,2,1,11,3
59c078746e,asus,2023 Zenbook,24,5,4,7,5
bcb707d4d2,dell,Inspiron 14,18,3,2,7,4
413b3ff1a7,dell,Vostro 3520,22,3,2,11,5
74ab520df6,asus,Zenbook Duo,12,5,4,7,5
20c84891f5,asus,VivoBook 15,30,3,2,11,4
fe0f7a53cd,asus,Vivobook 15,40,3,2,11,4
12000275a3,asus,Vivobook 15X,11,3,2,11,4
d73c50c302,asus,vivobook flip,63,3,2,7,4
56f732c10c,mi,Redmibook 15,12,3,2,11,4
9c3cbf297a,avita,Liber E,35,3,2,7,3
08c1224abf,asus,VivoBook 15,22,5,2,11,4
e251caa058,dell,Inspiron 16,13,3,4,12,4
1b8b27e562,dell,Inspiron 16,18,5,4,12,4
9f9e3c2665,hp,15 dw3021,32,3,2,11,3
43714cc3a1,asus,Vivobook 15,34,2,1,11,3
62643dfbf4,asus,Vivobook Flip,21,5,2,7,4
1e87ad01b3,dell,Inspiron G15,60,5,4,11,4
9665f26c63,chuwi,CoreBook X,48,1,2,7,4
7db1a10239,avita,Satus Ultimus,18,1,1,7,3
d252803285,dell,Vostro 3520,18,3,2,11,3
444b44d892,asus,Vivobook 14,44,5,2,7,4
c11bb61662,dell,Inspiron 16,19,3,2,12,4
b8ca2d743c,asus,Vivobook 14,20,2,1,7,3
ff64c71220,avita,Essential Refresh,22,1,1,7,3
90a676d61f,asus,Vivobook 15,18,3,2,11,4
ac5d117a46,dell,Inspiron 15,30,3,2,11,4
67007c652b,lenovo,IP3 Ryzen,14,5,2,7,3
fd36fb8f9c,xlab,x Book,23,2,2,11,3
7031fa7d7c,asus,Vivobook 15,40,2,2,11,3
3a4b02359e,asus,2023 Zenbook,41,3,2,7,4
ed1555fb40,dell,Inspiron 16,13,5,4,12,4
6cb33e4654,dell,INSPIRON 3501,17,3,2,11,4
447d654296,lenovo,ThinkPad E14,14,3,2,7,4
e58a244b2e,asus,World'S Smallest,33,5,4,4,5
172b989d2c,dell,Inspiron 15,23,3,1,10,5
44cab62c17,hp,15s Intel,10,3,2,11,4
77e370a59b,dell,Inspiron 16,21,3,2,12,4
7fdb5d7e48,dell,Inspiron 14,14,3,4,7,4
efaedb79a3,dell,Inspiron 14,53,5,4,7,4
6994c79689,lenovo,Ideapad Slim3,46,5,2,7,4
7cd3f4de29,asus,VivoBook 14X,21,3,2,7,4
dbbe499391,dell,Latitude 3440,36,3,2,7,4
200f890720,lenovo,Thinkpad L14,46,3,6,7,5
dfd0a70306,dell,latitude 3410,47,3,1,7,5
5d57be033f,asus,Vivobook 15,19,2,2,11,3
89176fa146,dell,Inspiron G15,19,5,2,11,4
40ba03be44,acer,Aspire 5,18,3,1,11,5
5b323037c6,asus,Vivobook 14,28,2,1,11,3
f5c91532e9,hp,15 fc0093dx,28,3,4,11,3
aabf94c791,asus,Zenbook 14,15,3,2,7,4
eafc6eb337,dell,Inspiron 16,15,5,4,12,4
d12f119787,dell,lnspiron 15,0,5,2,11,4
e5c1ae6c5c,dell,Latitude 5420,31,3,2,7,3
b861dfdda5,dell,Inspiron 15,11,2,2,11,4
2acd9cfc1d,acer,Nitro 5,9,3,2,11,4
e5d9d96dfb,dell,Latitude 13,48,5,2,4,3
1af484d464,hp,Envy x360,19,3,2,7,4
f4bc4002a1,acer,Swift 3,8,5,2,7,4
316e6a1259,dell,lnspiron 15,13,5,4,11,4
045a559c4d,dell,Inspiron 7391,59,5,2,4,4
ec1f2fce68,msi,Sword 16,11,5,4,11,5
c3d8721d25,acer,Swift 3,17,5,4,7,4
c8b7f3fc89,acer,Aspire 5,32,3,2,11,4
0fb833ebdb,dell,G5 15,31,5,4,11,4
b2ee246b95,acer,Aspire3 A315,21,3,2,10,4
f18c261dff,asus,VivoBook 14,68,2,1,7,3
c3c9a39f93,apple,MacBook Pro,46,4,4,14,4
5305d61a9e,asus,Vivobook 14,19,5,2,11,4
366aed43df,apple,MacBook Air,15,6,5,6,4
602dc5f27b,msi,Modern 14,27,5,2,7,3
bc7e5e3ac9,dell,Inspiron G15,15,5,4,11,4
c7550345ac,acer,Aspire 3,24,3,2,11,3
3f6ac5683e,asus,VIVOBOK ,13,3,4,7,4
24862bb5bc,dell,Vostro 3400,12,2,1,7,5
0cb4444052,msi,Cyborg 15,15,5,4,11,4
6702150b96,apple,MacBook Air,27,6,4,6,4
04bb571a62,msi,Cyborg 15,21,5,4,11,4
88b1cd5abc,dell,Inspiron G15,14,5,4,11,4
7ba1a0a5d8,msi,Modern 14,19,3,2,7,3
2060f802e7,asus,VivoBook 14,16,2,1,7,5
7538817c03,dell,Inspirion 3501,27,3,1,11,5
2e0d124128,dell,Vostro 3400,13,3,4,7,5
169fff2a37,asus,Vivobook Flip,37,5,2,7,4
0f8ba322d0,dell,Alienware M15,14,5,6,11,5
2a6272b025,asus,Vivobook G0,7,3,2,11,4
08e38b9b21,dell,Inspiron G15,18,5,4,11,4
ad87e790a4,dell,Inspirion 3501,8,3,1,11,5
084b3ade37,asus,TUF Gaming,29,5,4,11,5
cabd6bbf70,asus,ROG Zephyrus,25,5,4,11,4
4c680a6d4e,dell,Inspiron 14,16,3,2,7,4
dce53b0e28,asus,ROG Zephyrus,14,5,4,11,5
f732a18a3e,dell,Latitude 3420,26,3,2,7,3
b2757cd8f3,dell,lnspirion 15,50,5,2,11,4
c66fe1a316,asus,ROG Strix,25,5,4,12,5
79e0bcdb0e,msi,Laptop Katana,32,5,4,11,4
c829e6f67c,msi,Thin 15,10,3,2,11,4
8f58c3a729,asus,Rog Strix,9,8,4,11,5
57a32708db,dell,Vostro 3520,34,3,2,11,3
a7807bbb6f,msi,Laptop GF63,55,3,2,11,4
6240d8954b,asus,TUF Gaming,24,8,4,11,5
5f060ef263,msi,GF63 Thin,60,5,2,11,4
80955899cb,apple,MacBook Air,86,6,4,6,5
ea56d0f860,hp,15 EF2126,13,3,2,11,3
f58e99cf0f,dell,Vostro 15,5,3,2,11,4
36a2f7a714,dell,XPS 15,26,5,6,11,5
a90d955283,acer,Swift 3,11,5,2,7,4
9edbb4a134,asus,ZenBook 14,13,5,4,7,4
142674d1e7,asus,TUF Gaming,37,8,4,11,5
4acc884ad8,msi,Laptop GF63,47,3,2,11,4
998c45a480,asus,TUF Gaming,11,5,4,11,4
302f1052dc,dell,Inspiron 16,41,5,4,12,4
d194c37e40,dell,Latitude 3420,9,3,2,7,4
8114a3cf8f,asus,TUF Dash,61,5,4,11,5
b4cffd5d96,msi,Laptop Pulse,57,5,4,11,4
ea51e8081a,msi,Laptop GF63,42,3,2,11,4
7035d688cb,msi,Laptop Katana,11,3,4,11,4
d397ad88d6,msi,Cyborg 15,9,5,4,11,4
e7c5e0ffd5,dell,Inspiron G15,38,5,4,11,4
b87cbb6d4d,apple,MacBook Pro,16,7,2,7,4
6327077804,hp,EliteBook 835,9,5,4,4,4
f9213da77b,apple,MacBook Air,43,7,2,6,4
58daeeeda3,msi,Cyborg 15,42,3,4,11,4
4e55ab06d1,asus,Vivobook X1502Za,10,3,2,11,4
b3f7026dcb,asus,ROG Strix,14,5,4,11,5
7c96a9b8ab,asus,TUF Gaming,68,3,2,11,4
3aff7f60d6,acer,Aspire 5,5,3,2,11,4
38a9cfda2d,acer,Aspire 5,30,3,2,11,3
3dac94fe7c,lenovo,Ideapad V15,18,1,1,11,3
4b7f1fae06,asus,ROG Strix,7,5,4,11,5
e6bc48b542,asus,ROG Strix,15,8,4,16,5
9f74587ba0,asus,rog flow,11,8,4,4,5
70c8a333f5,asus,TUF F15,9,5,4,11,4
a431b19f91,asus,Vivobook Flip,33,5,2,7,4
842893bddd,asus,ROG Strix,13,8,4,11,5
e75b067606,hp,14z Laptop,11,3,2,7,3
d08c0f2b65,asus,TUF Gaming,21,5,4,11,5
9355713399,asus,TUF Gaming,6,5,2,11,4
c67244e8a9,chiwi,MiniBook X,18,1,3,1,4
d561311607,dell,Latitude 7490,15,3,2,7,3
f771ca4687,hp,15S Intel,19,3,2,11,4
0c71db88f3,asus,TUF Gaming,15,3,2,11,4
361db8aff7,acer,Aspire 5,17,2,2,11,3
27410897f2,apple,MacBook Air,58,6,4,6,4
672da00743,apple,MacBook Air,12,7,2,6,3
e585361095,apple,MacBook Pro,11,4,6,12,5
5d42bbf4a0,asus,VivoBook S,31,5,4,7,4
be109b9704,hp,14S FQ1052AU,38,2,1,7,3
65b8518b39,asus,VivoBook 15,8,3,2,11,4
eff46a3496,asus,TUF Gaming,11,3,2,11,4
bf4ddd9073,asus,Zenbook Flip,11,5,2,11,3
8f765464d8,acer,Aspire GO,9,3,2,7,4
4efc4d432e,asus,TUF Gaming,27,3,2,11,4
edb47f7d37,apple,MacBook Air,15,6,5,6,5
9310435ab6,dell,Vostro 3520,16,2,2,11,3
ae09089fed,lenovo,ThinkBook 14,27,3,2,7,3
012daea825,apple,Macbookpro 14.2‑Inch,16,4,4,7,5
17c850afd4,hp,14 Core,14,2,1,7,2
558202321a,hp,Elitebook 845,32,3,4,7,4
5f1284742e,apple,MacBook Pro,9,4,4,12,4
33abd46ed9,dell,Vostro 15,70,3,2,11,3
e0971869c7,lenovo,Ideapad Slim,10,3,2,11,4
9366b11c8c,hp,14 ,32,2,2,7,5
43643dd1df,apple,MacBook Air,15,7,2,6,3
185aa5fd1f,asus,Vivobook X415Ea,17,2,1,7,3
18ee3d315a,acer,Predator Triton,9,5,4,7,4
bf1cb8c9f1,apple,MacBook Pro,17,4,4,12,5
5af48ec3de,apple,Macbook Pro,10,4,6,12,5
4d569dce11,lenovo,IdeaPad 1,6,3,2,11,3
21ffac2d26,apple,MacBook Pro,75,4,4,12,5
d9ec5001ac,asus,ZenBook Q420VA,12,5,4,7,4
e96f23004a,acer,Aspire 5,6,3,2,11,4
a822723a98,apple,MacBook Pro,12,4,4,7,5
1dc0f1a227,lenovo,Ideapad 3,30,3,2,7,4
19825a78f6,acer,Aspire 5,26,3,2,7,4
b3e6581d84,dell,Inspirion 3501,15,5,2,11,4
205626354f,asus,VivoBook 14,22,5,2,7,4
2dfd384f56,lenovo,ThinkPad Z13,11,5,4,4,4
880b8764e9,lenovo,Thinkpad L14,14,3,4,7,4
332bdade03,acer,Aspire 5,9,5,2,11,3
87f320536b,apple,Macbook Pro,24,4,4,12,5
24819679d8,dell,Vostro 3520,16,3,4,11,3
86ba3f3a8f,acer,Aspire 5,13,3,2,11,3
2d1613588e,apple,Macbook Pro,11,6,5,4,5
a0a7633cda,lenovo,Laptop 4,11,1,1,11,3
e80d9a3989,asus,ZenBook Q408UG,4,3,2,7,3
9377d279ee,acer,Aspire A514,9,3,2,7,3
87bf10889f,hp,Envy i7,10,5,4,7,5
492390c3d7,acer,Aspire 3,10,3,2,11,3
0d199a8f1a,lenovo,V14 Celeron,17,1,1,7,3
07aa666d84,dell,Inspirion 3501,21,3,2,11,4
399d227610,hp,Notebook 14,13,2,1,11,3
ff4f44d731,dell,"VOSTRO 14""",13,3,2,7,4
e013314d73,acer,Nitro 16,8,5,4,11,5
2fb1518efb,acer,Aspire 5,13,2,1,11,3
9860fa1500,dell,Wyse 5470,14,1,2,7,3
8851e6bd9e,hp,15 255,16,5,2,11,4
69d9acee9c,acer,Aspire 5,30,5,2,11,4
c80642232c,acer,Aspire 5,20,3,2,11,4
37511423e7,lenovo,IdeaPad L3,9,1,1,11,3
82993a8b79,dell,Latitude 3420,22,3,2,8,3
db90650db6,dell,Vostro 3520,10,3,2,11,3
8f885ca53d,acer,Swift Go,9,3,4,7,4
1a50522e2b,dell,Vostro 3500,9,3,1,11,5
9522431b9e,dell,XPS 13,18,5,4,4,4
af4291c834,acer,Aspire 5,4,5,2,11,4
