graphics card,name
3050.0,"Asus vivobook pro 16x m7600qe - oled 5th gen/ r9 5900hx/16 gb ram/1 tb nvme ssd/16"" 4k (3840 x 2160) 90 hz , dialpad oled display/ nvidia rtx 3050ti 4 gb graphics/ backlit kb/backpack/mouse/genuine windows 11/2 year international warranty"
2800.0,"CHUWI HeroBook Plus 15.6"" Windows 10 Laptop 丨8GB LPDDR4丨256GB SSD丨IPS Display Windows 10 Home, Plastic Thin Body, Light and Portable + Free Gift"
1500.0,Asus Vivobook 14 X1404VA-EB149W i5- 1335U | 8GB | 512SSD | Intel® UHD Graphics | FHD
2000.0,Acer Swift Go 14 AMD Ryzen 5 7530U Processor – 16GB DDR4 RAM – 512GB NVMe SSD – 14″ FHD IPS Screen – Backlit Keyboard – Silver
2000.0,"Dell Inspiron 15 3515 / AMD Ryzen 3 3250U / 4GB / 1TB HDD / Radeon Graphics / 15.6"" FHD"
1500.0,Dell Inspiron 15 3530 - i5 1335U | 8GB | 512SSD | Intel UHD | FHD | 2 Years Warranty
,Lenovo IdeaPad Slim 3 13th Gen 13420H Intel Core i5 – 8GB DDR5 RAM – 512GB NVMe SSD – Intel Iris Xe Graphics – 15.6″ FHD TN Display – Arctic Grey
,Dell Latitude 5480 Intel Core I5 6th Gen 2.4 GHz Processor 8 GB RAM 256 GB SSD 14 Inch Touch Screen
,Hp 255 G8 Ryzen 7 5700u 15.6 fullhd 512 ssd 8 gb ram silver color
2800.0,"Dell Vostro 3520 Core i5 12th Gen/ 12GB RAM/512 GB SSD/15.6"" FHD/Win 11"
,"HONOR MagicBook X14 (2023), 12th Gen Intel Core i5-12450H (8GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare T&L Laptop/Win 11/Backlit Keyboard/Fingerprint Login/1.43Kg), Gray"
,"Lenovo V15 celeron Laptop 4GB,256GB SSD,15.6 inch Display"
,"HP Pavilion 14 X360 Intel Core i5 12th Generation 8GB Ram 512GB SSD 14.0"" Touch 360"
,"Dell Inspiron 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black"
,"Acer Aspire 5/Core i3 11th Gen/4GB RAM/128GB SSD/1TB HDD/15.6""FHD/WIN10 Genuine"
,Dell Vostro i5-11th Gen 8/512
,Acer Aspire 5 i7 13th Gen 1355U 2023 – 8GB DDR5 RAM – 512GB NVMe SSD – 15.6″ FHD Display – Iris Xe Graphics – Steel Grey
,Dell Inspiron 3501 i3 10th Gen 4GB RAM 256GB SSD 15.’’6 FHD
2000.0,"GateWay GWTN156 Ryzen 7 3700U I 8GB RAM I 512GB SSD I 15.6"" FHD IPS I Ultra Slim Laptop"
2800.0,"ASUS Vivo Book X1402Z Core i5 12th Gen/8GB RAM/512 GB SSD/14"" FHD Display/Magic Numpad/ Win 11"
,Lenovo Flex 5 i7 11th gen 16gb ram 512 ssd 15.6 full hd ips x360 Touch
1050.0,Dell Vostro 3520 i7 12th Gen 8GB RAM 512GB SSD 15.6″ Full HD NVIDIA MX550 2GB Laptop
,"Acer Aspire 5 Intel Core i5 13th Gen 8GB Ram 512GB SSD 15.6""FHD"
,HP ProBook 440 G10 I5-13th Gen/8GB RAM/512GB SSD/14 HD Display
,"HP Envy x360 14 i7 13th Gen \ 16GB RAM \ 1TB SSD \ 14"" FHD 360 Touch Screen Display"
2800.0,"Dell Vostro 3510 / i5-1135G7 11th Gen / 8GB RAM / 512GB SSD / Intel UHD Graphic 15.6"" FHD"
2800.0,Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD
2800.0,HP 14 Fq0051Nr With Athlon Tmsor Processor 14.0 HD Display 8GB RAM 256GB ROM
,Dell Vostro 3510 i5 11th Gen 8GB 512ssd 15.6FHD Screen Backlit Keyboard Laptop
,Acer Aspire 3 AMD Ryzen 5 7520u 8GB RAM 512GB SSD 15.6″ FHD Laptop
2800.0,Dell Vostro 3510 /15.6″ FHD /Intel Core I5 1135G7 /8 GB RAM /256 GB SSD/1TB HDD
,"HP Pavilion X360 14"" Core i5 1035G1 8GB RAM 256GB SSD Convertible Laptop"
2000.0,"Lenovo Ideapad 3 AMD Ryzen 5 5500U processor, 8GB RAM, 256 GB SSD, 14 FULL HD, Windows 10"
2800.0,Dell Vostro 3510 i5-1135G7 11th Gen 8GB RAM 256 GB SSD Intel UHD Graphic 15.’’6 FHD
,HP ENVY x360 2-in-1 Laptop Intel Core i5 13th Gen 8GB RAM 512GB SSD 14.0 Inch Touchscreen Backlit Keyboard Win 11
,"Dell Latitude 3410 i5 10th Gen 8GB RAM 256 GB SSD 14"""
,Lenovo V14 Celeron 4Gb Ram 256Gb SSD 14 FHD
2800.0,"Lenovo Ideapad 1-14IGL (Intel Core Celeron - N4020 Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics 600 | 14"" HD Display)"
,"Lenovo IdeaPad 1 2023 Laptop | Intel celeron N4020 | 14"" FHD Display | 8GB LPDDR4 | 256GB SSD"
2800.0,"Dell Vostro 3520 Core i5 12th Gen/ 16GB RAM/512 GB SSD/15.6"" FHD/Win 11"
,"Acer Aspire 3 Ryzen 5 7520U/ 8 GB DDR5 RAM/ 512 GB SSD NVME/15.6"" FHD/Win 11"
,"Lenovo ThinkPad P14S Core i7 11th Gen/ 16GB RAM/512 GB SSD/Nvidia Quadro 4GB Graphics/14"" IPS FHD/Backlit Keyboard /Fingerprint / Win 11 Pro (Workstation)"
,Lenovo Ideapad1 Intel Celeron N4020 Ram 8GB SSD 256 GB 14 Inch Display
,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 256GB SSD | 15.6"" FHD 120Hz Display Laptop"
2800.0,"Dell Latitude 7420 Core i7 1185G7 VPro/ 16GB RAM/ 512GB SSD/ 14"" FHD/Backlit Keyboard/Win 11 Professional (Business Series Premium Laptop) 7000 Series"
,Dell Laptop 3520 I3 12th Generation 8gb 512gb
,Acer Aspire lite i3 13 Gen 8Gb Ram 512 GB SSD 14 Inch FHD Display
,Lenovo IdeaPad 1 i5 12th Gen 8GB RAM 256GB SSD 15.6″ FHD Laptop
2800.0,Apple MacBook Air 13.6inch M2/8C CPU/10C GPU/8GB/512GB - EvoStore
,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"""
2000.0,"Acer Aspire 3 AMD Ryzen™ 5 7520U/ 8GB Ram / 512GB SSD/ WIN11/ 14"" (1920x1080) FHD Display SILVER + Protective Sleeve"
2800.0,Dell Vostro 3520 /I7-1255U / MX550 / 8GB RAM / 512GB SSD / 15.6″ FHD
,"Lenovo IdeaPad 3 i5 12th Gen/8gb/512gb/15.6""FHD/Backlit keyboard/fingerprint/win11pro"
,Acer Swift Go 14 Intel EVO i7 13th Gen 1355U – 16GB DDR5 RAM – 512GB NVMe SSD – Intel Integrated Graphics – 14″ ( 1920 x 1200 ) Touch Display – Backlit Keyboard – FingerPrint – Windows 11 – Silver
,"HP Spectre x360 14 2023 2-in-1 i7 13th Gen / 16GB RAM / 512GB SSD / 13.5"" WUXGA (3072x1920) display TouchScreen"
2000.0,Asus Vivobook S 14 OLED M5406NA-PP085W - Ryzen 5 7535HS | 8GB | 512GB SSD | AMD Radeon™ Graphics | 2 Years International Warranty
2000.0,"Lenovo IdeaPad 1 14.0"" Laptop, 15.0"" FHD Display, AMD Ryzen 5 7520U , 8GB RAM, 512GB Storage, DOS Win 11, Cloud Grey"
1500.0,"Lenovo Ideapad Slim 3 15IAH8 i5 12450H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD DISPLAY"
,Lenovo 2023 IdeaPad Slim 3 i5-13420H 13th Gen/8GB RAM/256GB SSD/14″ Full HD Screen
1050.0,"ACER Intel Core i7-1165G7/Memory 8GB DDR4 RAM Storage/256GB SSD Graphics MX330 2GB Screen: 14” FHD, Backlit KB"
2000.0,Dell Inspiron 15 3525 - AMD Ryzen 7 5825U | 8GB | 512SSD | Radeon Graphics | FHD
2800.0,Dell Inspiron 16 5625 (AMD Ryzen 5 - 5625U Processor | 8GB RAM | 512GB SSD | AMD Radeon Graphics
,ASUS ZENBOOK 14X OLED Q420VA | Intel® Core™ i7-13700H | Intel Iris® Xe Graphics | 16GB LPDDR5 RAM | 512 GB PCIe® 4.0 x4 SSD | 14.5” OLED + Touch
2800.0,"Asus Vivobook 15 X1502ZA, i7, 12th Gen Core, 8Gb, 512Gb SSD, 15.6"" Display, Windows11, Backlit Keyboard, Fingerprint | Nagmani International"
,"HP Envy x360 2 In 1 intel Core i5 13th Gen | 8GB RAM | 512GB SSD | 14"" FHD 360 TouchScreen Display"
1500.0,"Lenovo V15 G3 | 12th Gen Intel Core i5 - 1235U Processor | 8GB RAM | 512GB SSD | Integrated Intel UHD Graphics | 15.6"" FHD IPS Display | 1 year warranty | Laptop | Lenovo Laptop | Grey"
1500.0,Dell Inspiron 3520 - i5 - 1235U | 8GB | 512GB SSD | Intel UHD | FHD
,AVITA LIBER E INTEL i5-1235U
2050.0,"Asus zenbook 17 fold ux9702 ,i7, 1250u, 16 gb, 1tb ssd, intel® iris xe graphics, 17.3"" unfolded oled and 12.5'' folded display"
,"lenovo ideapad 3 i310th gen/4gb ram/ 1tbhdd/ 2gb nvidia graphics/ 15.6"""
2800.0,Dell Vostro 3520 Intel Core i5 12th Generation – 16GB DDR4 RAM – 512GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Windows 11 – Black
1050.0,"Dell Vostro 3520 Core i5 12th Gen /8GB RAM/512GBSSD/15.6""FHD/ Nvidia MX550 2GB GFX"
2800.0,"ASUS Vivobook 14X (K3405) - 13th Gen Intel i7 13700H, 16GB RAM, 512GB NVMe SSD, 14.0-inch, WUXGA , Windows 11, Bagpack, Mouse, 2 Years Int'l Warranty - Nagmani International"
1050.0,"Dell Inspiron 3511 i5 11th Gen / Nvidia MX350 Graphics / 8GB RAM / 512GB SSD / 15.6"" FHD Display"
2000.0,"Acer Aspire 3 A314 Ryzen 5-7520U /8GB Ram/512GB SSD/ AMD Radeon Graphic/ Win 11/ 14""FHD/ Protective sleeve"
2800.0,Dell Inspiron 7506 2-in-1 laptop
2800.0,"Dell Latitude 5530 , 15.6"" FHD Screen, 12th Gen i7-1265U, 8GB DDR4 RAM, 512GB PCIe SSD, Thunderbolt 4, Backlit Keyboard, Wi-Fi 6, NVIDIA GeForce MX450 Graphics"
,Asus ROG Zephyrus M16 (2022) GU603ZW-K8093W - i9 12900H | 32GB | 1TB SSD | RTX 3070TI | QHD+
,"Huawei MateBook D15 [ Intel i5 11th Gen, 8GB RAM, 512GB NVMe SSD, Fingerprint Sensor Power Button, Windows 11 ]"
,Dynabook Tecra A40-K [I7 / 16GB RAM / 1TB SSD / Windows 11 Pro / 3 years international warranty]
2800.0,"MSI Laptop Modern 14 B10MW (10th Gen i5-10210U | 8GB DDR4 RAM | 256GB NVMe SSD | 14.0"" Full HD IPS | Backlit Keyboard | Light Weight)"
1500.0,Dell Wyse 5470 (Intel Celeron Processor | 8GB RAM | 256GB SSD Storage | Intel UHD Graphics | 14″ FHD Display)
2000.0,Dell Inspiron 15 3515 AMD Ryzen 3 3250U 4GB 1TB Radeon Graphics FHD
,"Apple MacBook Air (15-inch, M3 Chip) 8C-CPU, 10C-GPU, 8GB RAM, 256GB SSD - EvoStore"
,Lenovo Ideapad Flex 5 14IAU7 i5 12th Gen 8Gb Ram/512Gb Ssd/14″ WUXGA Touchscreen 2in1 Laptop
1500.0,"Lenovo Ideapad Slim 3 15IAH8 i5 12450H | 16GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD DISPLAY"
3050.0,"MSI Laptop Creator M16 A11UC | 11th Gen i7-11800H | 16GB | 512GB | NVIDIA RTX 3050-4GB | 16"" 2560*1600 QHD+, 100% DCI-P3 Color Gamut | Win 10)"
2000.0,"Lenovo IdeaPad 1 14.0"" Laptop, 14.0"" FHD Display, AMD Ryzen 5 7520U , 8GB RAM, 512GB Storage, DOS Win 11, Cloud Grey"
2800.0,"MSI Modern 14 C12MO Laptop (12th Gen Intel Core i5 | 16GB RAM | 512GB SSD | 14"" FHD IPS | Wi-Fi 6 | Backlit Keyboard | USB-C | 1.4KG)"
2800.0,"MSI Laptop Modern 15 A11MU (11th Gen i5 -1155G7 | 8 GB RAM | 512GB SSD | 15.6"" FHD 100% sRGB | Backlit Keyboard | USB-C | Win 10 Home)"
2800.0,"Lenovo IdeaPad 1 14IAU7 | I7-1255U | 8GB RAM | 512GB SSD | 14"" FHD"
,"Asus VivoBook I5 12th Gen 8GB/512GB/14""inch/Fingerprint/Backlit keyboard"
,Dell Vostro 3400/I5 Processor/4Gb Ram/1Tb Hdd/14 Inch/11th Gen
2800.0,"MSI Laptop Modern 15 A11SBU ( i5-11th Gen 1155G7 | 8GB RAM | 512GB SSD | MX450 2GB | 15.6"" FHD 100% sRGB Color Gamut | Backlit Keyboard | Win 10)"
,"MSI Modern 14 B11MOU ( i5-11th Gen 1155G7 | 8GB RAM | 512GB SSD | 14.0"" FHD IPS | Backlit Keyboard | USB-C | Win 10)"
,Dell Latitude 3440 - i5 -1235U | 8GB RAM | 512GB SSD | Non-Backlit | UBT | 3 Years Warranty
2000.0,"MSI Modern 14 B5M Laptop (AMD Ryzen 7 5700U | 8GB RAM | 256GB M.2 NVMe SSD | 14"" FHD IPS | Wi-Fi 6 | Backlit Keyboard | USB-C | Win 11 Home | 1.3KG)"
,Dell I5-11th Gen/8GB RAM/256GB SSD/1TB HDD/2GB Graphics/15.6 Display
2800.0,Asus Exportbook B1402 I5/12th Gen/8GB RAM/512GB SSD/14FHD/Backlite Keyboard
,"Acer Swift 3 2020 Ryzen 5 4500U / AMD VEGA 8 / 8GB RAM / 256GB SSD / 14"" FHD Display"
,"Acer Aspire 3 14|AMD Ryzen 5 7530U|8GB|512GB|14""inch FHD Display"
2800.0,"Lenovo ThinkPad T14 Gen2 | 11th Gen Intel Core i5 | 16GB RAM | 512GB NVMe SSD |14 "" FHD Display | Genuine Windows 10 Pro | 3 Yrs Warranty"
,"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop"
3050.0,"Dell lnspirion 15 G5 / i7-11800H / 8GB RAM / 512GB SSD / RTX 3050 4GB / 15.6"" 120Hz FHD Display"
2000.0,"MSI Modern 14 B4MW Ryzen 7 4700U / 8GB RAM / 256GB SSD / 14"" FHD Display"
2000.0,Asus VivoBook M1405YA-IS74 AMD Ryzen™ 7 7730U/ 16GB Ram/ 1TB SSD/ AMD Radeon Graphic/ WIN11/ 14” (1920x1200) BLACK.
2800.0,MSI Modern 15 A11MU | 11th Gen i7 -1195G7| 8 GB RAM | 512GB SSD | Intel Iris Xe | Win 10
3060.0,Nova Pro(32/1TB) | Intel i7 12700H | RTX 3060 | 165hz
3050.0,"Asus Vivobook Pro 14 M6400Rc Oled -6Th, Ryzen 7 6800H, 16, 1 Tb Gen 4 Nvme Ssd, 14"" 2.8K Oled, Magic Numpad, Fingerprint, Nvidia Rtx 3050 4G, Backlit Kb, Backpack, Genuine Windows 11, 2 Year - Nagmani International"
,Dell Inspiron 7430 2-in-1 Intel Core i7 13th Gen – 16GB DDR5 RAM – 1TB NVME SSD – 14″ FHD TouchScreen Display – Windows 11 Home- Backlit Keyboard
3050.0,"Asus Vivobook Pro 14 M3401Qc-Oled/R7 5800H/16Gb Ram/1Tb Ssd/14"" 2.8K Wqxga 90Hz Oled Display/Rtx 3050 4Gb Graphics/Backlit/Fingerprint/Bag/Windows 11/2 Year International Warranty - Nagmani International"
,"Acer Aspire 5 A515-56-363A, 15.6"" Full HD IPS Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Backlit Keyboard, Windows 10 Home"
,"Asus vivobook 15 k513eq i5-11th gen / 8gb ram / 512gb ssd/ 15.6"" fhd ips display/ mx350 2gb / fingerprint / gold / bagpack / mouse"
,"HP Laptop 15 s-du1523TU i3- 4GB-256GB SSD-15.6""-Win 10Home"
,Asus zenbook 14 ux425ea i7-11th gen/ 16gb ram / 512gb ssd / 14'' fhd / magic numpad
2800.0,Dell Vostro 3520 Intel Core i5 12th Generation – 16GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Black
,Asus Vivobook Flip 14 TP3402VA-LZ248W i9-13900H | 16GB | 1TB SSD |Intel Iris Xe | Touch | WUXGA
3050.0,"Asus Vivobook Pro M6400rc -6th, Ryzen 7 6700h, 16 GB, 1TB NVME SSD , 14 inch Oled Display, Magic Numpad, Fingerprint, Nvidia RTX 3050, Backlit Keyboard"
,HP 15s-du2101TU 15.6 inch Display 10th Gen Intel Core i5 4GB RAM 1TB HDD win 10 Home PPP
2000.0,Dell Inspiron 15 3535 - Ryzen 3 7320U | 8GB | 512GB | Radeon Graphics | FHD | 2 Years Warranty
1650.0,"ASUS ZenBook Flip 15 UX564EH i7 11th Gen / 16GB RAM / 1TB SSD /NVIDIA® GeForce® GTX 1650 Max Q, 4GB GPU/ Stylus / 15.6"" FHD IPS 360-degree Touchscreen display/Mineral Grey/Genuine windows - Nagmani International"
,"ASUS Vivobook Go E1404GA - (Intel i3 13th Gen N305, 14"" FHD Display, 8GB RAM, 512GB SSD, Fingerprint, Bagpack, Mouse Win11, 2 Yrs Int'l Warranty)"
2800.0,"ASUS VIVOBOOK 15X OLED M1503QA -5TH, RYZEN 5 5600H, 8 GB RAM, 512 GB NVMe SSD, 15.6"" OLED Display, Fingerprint, Genuine Win 11, 2 years int'l warranty, Blue color, Backlit Keyboard, Backpack, Mouse -Nagmani Interntional"
2800.0,"Asus Zenbook 14 Um3402Ya - 7Th, Ryzen 5 7530, 8Gb Ram, 512Gb Nvme Ssd, 14"" 2K Display , Backlit Kb, Magic Numpad, Fingerprint, Genuine Win 11, / Nagmani International"
4060.0,"Asus Vivobook Pro 16 OLED (K6602) - Core i9 13900H / RTX 4060 / 16GB RAM / 1TB SSD / 16"" 3.2K OLED 120Hz Display / 2 Years Int'l Warranty / Bag / Mouse / Genuine Windows - Nagmani International"
2800.0,"ASUS Zephyrus G14 GA402RJ Ryzen 9 6900HS / RX 6700S / 16GB RAM / 1TB SSD / 14"" 120Hz WQXGA Display /Win 11 Home/GRAY ANIME - Nagmani International"
