graphics card,name,url,details
4050,"Acer Nitro V 15 2023 i5 13420H | RTX 4050 6GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 1 Year Warranty",https://www.daraz.com.np/products/acer-nitro-v-15-2023-i5-13420h-rtx-4050-6gb-16gb-ram-512gb-ssd-156-fhd-144hz-display-1-year-warranty-i129836740-s1037684933.html?search=1,"BrandAcerSeriesNitro SeriesModelAcer Nitro V15 2023 TypeGaming LaptopProcessor13th Generation Intel® Core i513420H processor 210GHz with Turbo Boost up to 450 GHz 8 Core12 ThreadOperating SystemWindows 11 HomeRAM16 GB DDR5 4800MHz MemoryStorage512Gb PCIe NVMe SSDOptical DriveNoCard ReaderNoScreen156"" display with IPS InPlane Switching technology Full HD 1920 x 1080 Acer ComfyView LEDbacklit TFT LCD169 aspect ratio supporting 144 Hz refresh rateGraphicsNVIDIA GeForce RTX 4050 with 6GB of dedicated GDDR6 VRAMWireless ConnectivityKiller WiFi 6 AX 1650i 80211 abgn+acR2+ax wireless LAN Supports Bluetooth 51Warranty1 Year Battery575 Wh 4cell Liion batteryWeight21kgProduct Dimensions259 | 269 x 36 x 271 cmPower Supply3pin 135 W AC adapterKeyboardFineTip Whitebacklit keyboardPortsHDMI  YesNumber of USB 32 Gen 1 TypeA Ports  3Number of USB 32 Gen 2 TypeC Ports  1Total Number of USB Ports  4USB TypeC  YesNetwork RJ45  YesAudioDTS X Ultra Audio"
nan,Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop,https://www.daraz.com.np/products/lenovo-ideapad-slim-3-i5-13th-gen-8gb-ram-512ssd-156-screen-laptop-i128136700-s1035240055.html?search=1,CPU  i513420H 13th Gen RAM  8 GB Soldered LPDDR5 4800MHz HDD  512GB SSD Screen  156″ Full HD 1920 x 1080 Graphic  Intel® UHD Graphics
nan,"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen",https://www.daraz.com.np/products/dell-latitude-e5470-i5-6th-gen-8-gb-ram-256-gb-ssd-14-screen-i123538890-s1037331736.html?search=1,Processor Intel® Core™ i5 6200U Sixth Gen 23GHZ up to 26GHZ Harddisk  256 GB SSD RAM 8 GB DDR4 PC4 upgrade up to 16GB Display 14” HD IPS Display 1366x768 Resolution Graphics Card Intel HD 520 Shared Graphics Operating System Windows 10
nan,"Lenovo Ideapad Slim 3 i3 13th Gen 8GB RAM 256GB ssd 15.6"" FHD Laptop",https://www.daraz.com.np/products/lenovo-ideapad-slim-3-i3-13th-gen-8gb-ram-256gb-ssd-156-fhd-laptop-i128202161-s1035310879.html?search=1,CPU  i31305U 13th Gen RAM  8 GB Soldered LPDDR5 4800MHz HDD  256GB SSD Screen  156″ Full HD 1920 x 1080 Graphic  Intel® UHD Graphics
nan,Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,https://www.daraz.com.np/products/mi-notebook-pro-intel-core-i5-11th-gen16gb512gb-ssdiris-xe-graphics-14-inch-laptop-i113998214-s1030999621.html?search=1,Mi Notebook Pro I5 14 inch IPS QHD+ resolution 2560x1600 1610 aspect ratio 215 PPI 10001 contrast ratio Anti Glare TUV low Blue light 11th Gen Intel Tiger Lake Core i511300H processor Speed 31 GHzbase  44 GHzmax 16 GB RAM 512GB SSD Windows 10 Home Microsoft Office Home and Student 2019 Intel Iris Xe graphics All Metal Design Bluetooth V51 Brand New Laptop
nan,"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop",https://www.daraz.com.np/products/acer-aspire-5-core-i3-11th-gen-8gb-ram-128gb-ssd-1tb-hdd-156-fhd-win10-genuine-laptop-i113601038-s1030884979.html?search=1,"Acer Aspire 5 Laptop 156"" FHD Display Intel® Iris® Xe Graphics Intel Core i31115G4 300  41GHz 11th Generation 8GB DDR4 RAM 128GB NVMe SSD +1TB HDD SATA HDMI LAN WiFi Bluetooth Windows 10 Home Genuine Multiple Ports 1  USB 31 TypeC Gen 1 port up to 5 Gbps 2  USB 31 Gen 1 Port one with Poweroff Charging 1  USB 20 Port 1  HDMI Port with HDCP Support 1 Network RJ45 Brand New Laptop"
nan,Dell Celeron 5470 Intel UHD 8/256GB SSD,https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925-s1037366468.html?search=1,Dell 5470 Intel® Celeron™ N4100 4Cores4MB4Tup to 24GHz6W Intel UHD Graphics 8 GB DDR4 2400 MHz  Max Memory 16 GB DDR4 2400 MHz  M2 256GB PCIe Class 35 Solid State DriveSSD 42 WHr lithiumion 3 cell battery 140″ HD Backlit Keyboard 1 years warranty
nan,"Acer Aspire 5 i3 11Th Gen 8GB Ram 256gb Ssd 15.6"" Fhd Display",https://www.daraz.com.np/products/acer-aspire-5-i3-11th-gen-8gb-ram-256gb-ssd-156-fhd-display-i128487184-s1037182475.html?search=1,"pre { whitespace prewrap }• Intel Core i3 Processor Hexa Core CPU Cores• 11th Gen 8GB RAM 256GB SSD• 156"" FHD Display Intel Graphics Card• Windows 10 Operating System 2GB Graphics Memory• WIFI + Bluetooth Wireless Connectivity• 610 Hour Battery Life Touch Pad• HDMI Input Output Ports AC Adapter Included"
nan,"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",https://www.daraz.com.np/products/dell-vostro-3520-i5-12th-gen-8gb-ram-256gb-ssd-156-120hz-fhd-black-i128524301-s1036048549.html?search=1,"Brand Dell Model Vostro 3520 Processor Intel Core i5 12th Generation 1235U 12 MB cache 10cores 12 threads up to 440 GHz Turbo Memory 8GB DDR4 RAM Storage 256GB NVMe SSD Display 156"" 120Hz FHD Display Battery 3Cell Battery Color Carbon Black Warranty 1Year Warranty"
nan,"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/8GB/256GB - EvoStore",https://www.daraz.com.np/products/apple-macbook-air-136-m28c-cpu8c-gpu8gb256gb-evostore-i117770489-s1032286854.html?search=1,STRIKINGLY THIN DESIGN — The redesigned MacBook Air is more portable than ever and weighs just 27 pounds It’s the incredibly capable laptop that lets you work play or create just about anything — anywhere SUPERCHARGED BY M2 — Get more done faster with a nextgeneration 8core CPU up to 10core GPU and up to 24GB of unified memory UP TO 18 HOURS OF BATTERY LIFE — Go all day and into the night thanks to the powerefficient performance of the Apple M2 chip BIG BEAUTIFUL DISPLAY — The 136inch Liquid Retina display features over 500 nits of brightness P3 wide color and support for 1 billion colors for vibrant images and incredible detail ADVANCED CAMERA AND AUDIO — Look sharp and sound great with a 1080p FaceTime HD camera threemic array and fourspeaker sound system with Spatial Audio VERSATILE CONNECTIVITY — MacBook Air features a MagSafe charging port two Thunderbolt ports and a headphone jack EASY TO USE — Your Mac feels familiar from the moment you turn it on and works seamlessly with all your Apple devices BUILT TO LAST — The allaluminium unibody enclosure is exceptionally durable And free software updates keep things running smooth and secure for years to come SIMPLY COMPATIBLE — All your goto apps run lightningfast — including Microsoft 365 Zoom and many of your favorite iPhone and iPad apps COMES WITH APPLECARE WARRANTY – Every Mac comes with a oneyear limited warranty
